"mz","mean.log.int","sd.log.int","missing.rate","species","strain"
1032.19311726552,-5.61603621224419,0.218343448035298,0,"B","X"
1034.14113899407,-5.44295993749667,0.314324993277084,0,"B","X"
1035.09469422813,-5.7067805778299,0.00177909303785919,0.5,"B","X"
1036.15490988548,-5.66952751108294,0.299674415168246,0,"B","X"
1048.30480293031,-4.68666443420923,0.248108530072361,0,"B","X"
1049.25156475233,-4.86389913211071,0.212960205912473,0,"B","X"
1050.25733085765,-5.01471354416753,0.170882431557732,0,"B","X"
1096.53818754611,-5.14803780090997,0.309015904846685,0,"B","X"
1128.38224570482,-5.41188708594106,0.00321676775268416,0.5,"B","X"
1130.3509439118,-5.31492530333609,0.214628383946037,0.25,"B","X"
1132.41600113244,-5.41474600295613,0.185568159712378,0,"B","X"
1136.6115037778,-5.84309091235307,0.00384761936433373,0.25,"B","X"
1164.50858729918,-5.86805005091587,0.141712020260396,0.25,"B","X"
1292.95710080609,-5.61610421150998,0.207725969985236,0,"B","X"
1319.05302916286,-5.67013604507701,0.0581938410841995,0,"B","X"
1321.06045551112,-5.10769193698308,0.179688471109193,0,"B","X"
1333.05200983537,-5.64789855800531,0.142619030494446,0,"B","X"
1345.19165742203,-5.80747010398326,0.0290448607074785,0,"B","X"
1347.07206106434,-5.39116307062308,0.0805599669007546,0,"B","X"
1349.03434724959,-5.47835142507393,0.0224115220010047,0.25,"B","X"
1359.28817626391,-5.35816283803136,0.0599336836049658,0,"B","X"
1361.11982659188,-5.16727516981173,0.115703390189962,0,"B","X"
1373.10754756425,-5.58143306571834,0.142832773602786,0,"B","X"
1375.05767140688,-5.69321557853253,0.177483672167929,0,"B","X"
1387.21103828061,-5.33276208919277,0.154689167976868,0,"B","X"
1389.00187756634,-5.46865874226815,0.0049691969074043,0.25,"B","X"
1390.59417740548,-5.94489749863369,0.0200720232349327,0.5,"B","X"
1401.2134919632,-5.73292405311424,0.165454719555811,0,"B","X"
1402.19522764944,-5.72805431269974,0.00143728818555145,0.5,"B","X"
1421.09112437583,-5.99366722871396,0.0662899037632893,0,"B","X"
1430.93988720627,-6.04138215713061,0.120860969053412,0,"B","X"
1435.23135345349,-5.94552212885626,0.0516464289861121,0,"B","X"
1447.22741736053,-5.8764835169233,0.040440924309719,0,"B","X"
1449.04984032438,-5.80259846069969,0.135330650478462,0,"B","X"
1459.25043629403,-5.74391390576693,0.130071846047601,0.25,"B","X"
1461.04541336035,-5.5443748014681,0.0369540291847635,0,"B","X"
1463.47376910787,-4.96686070244497,0.117078370430723,0,"B","X"
1475.12257598151,-6.03767415394971,0.0441116223108664,0.25,"B","X"
1475.96673413847,-5.9932790088401,0.0319098489605394,0.5,"B","X"
1477.22875691593,-6.08088844588699,0.0258845052218795,0,"B","X"
1489.2760494607,-4.81311674372368,0.00214166351624129,0.5,"B","X"
1491.65882272471,-4.43206074054927,0.144240189119641,0,"B","X"
1503.48602313908,-5.87963616690203,0.0399218278229264,0,"B","X"
1505.22867900188,-5.98240311830576,0.0273762404646766,0,"B","X"
1515.51109186955,-5.98410394459792,0.0681929483744911,0.25,"B","X"
1518.18102635948,-4.5473168646984,0.206289075487813,0,"B","X"
1519.1526977127,-4.69619854571786,0.21561646723129,0.5,"B","X"
1532.15972798817,-5.44706563813191,0.101404884616344,0,"B","X"
1546.3222286269,-4.96995335037311,0.196723558893188,0,"B","X"
1560.31384149301,-5.76163704910302,0.00917430083532222,0,"B","X"
